test_name,matches,seed,movement_per_activation,ball_carrier_movement,shot_target_number,shot_target_mode,center_shot_target_number,wide_shot_target_number,goalie_enabled,goalie_shot_penalty,marked_hex_exit_cost,mark_duration,bot_style,offside_enabled,shots_per_match,goals_per_match,passes_attempted_per_match,pass_completion_rate,tackles_attempted_per_match,tackles_success_rate,marks_placed_per_match,average_marks_active,offside_violations_per_match,rounds_with_no_shot_per_match,average_movement_used,average_movement_budget_used,average_ball_depth,turnovers_per_match
baseline_shot5_mark2,100,3502,5,4,5,flat,4,5,True,1,2,2,balanced,True,9.6300,1.4000,21.5000,0.8074,2.8700,0.5192,53.6900,0.9780,1.8500,10.2900,1.9274,1.9837,10.0550,1.4900
baseline_shot5_mark1,100,3501,5,4,5,flat,4,5,True,1,2,1,balanced,True,9.3300,1.5800,21.1300,0.8107,2.7200,0.5368,57.2900,0.5277,1.6800,10.6300,1.8857,1.9444,9.9717,1.4600
center4_wide5_mark2,100,4502,5,4,5,lane,4,5,True,1,2,2,balanced,True,15.7900,5.0800,12.6000,0.8175,2.5900,0.4672,71.3100,1.2636,0.7700,7.8600,2.0713,2.1542,8.4817,1.2100
