metric,value
movement_per_activation,4
ball_carrier_movement,4
mark_duration,2
marked_hex_exit_cost,2
defender_pass_penalty,-2
defender_shot_penalty,-2
marker_shot_penalty,-1
shot_target_number,4
goalie_enabled,True
goalie_shot_penalty,1
offside_enabled,True
bot_style,balanced
seed,2402
matches,100
shots_per_match,16.4900
goals_per_match,5.4500
passes_attempted_per_match,12.6200
passes_completed_per_match,10.1200
pass_completion_rate,0.8019
tackles_attempted_per_match,2.1000
tackles_success_rate,0.5095
marks_placed_per_match,73.7900
average_marks_active,0.6804
offside_violations_per_match,0.6600
rounds_with_no_shot_per_match,7.2300
turnovers_per_match,1.0700
average_activations_per_card,1.6065
average_movement_used,1.9734
average_movement_budget_used,2.0466
average_ball_depth,8.5361
test_name,v2_move4_shot4_goalie

cards_played,count
C2,1089
C1,1089
C3,1087
L+R 1/1,1051
R1,898
L1,886
D 1/1/1,831
L2,810
L3,793
R2,768
R3,757
A 1/1/1,741

actions_selected,count
mark 2,3382
shoot,1748
cross,775
pass lane,771
tackle,210
mark 3,205
pass inside,71
pass outside,65

card,meaningful,no_effect,no_eligible_activation
A 1/1/1,452,61,228
C1,887,164,38
C2,969,90,30
C3,964,90,33
D 1/1/1,278,458,95
L+R 1/1,590,327,134
L1,382,346,158
L2,393,218,199
L3,356,235,202
R1,374,352,172
R2,375,193,200
R3,335,225,197
