metric,value
movement_per_activation,4
ball_carrier_movement,4
mark_duration,2
marked_hex_exit_cost,2
defender_pass_penalty,-2
defender_shot_penalty,-2
marker_shot_penalty,-1
shot_target_number,3
goalie_enabled,True
goalie_shot_penalty,1
offside_enabled,True
bot_style,balanced
seed,2302
matches,10000
shots_per_match,15.8294
goals_per_match,7.8484
passes_attempted_per_match,10.7360
passes_completed_per_match,8.6609
pass_completion_rate,0.8067
tackles_attempted_per_match,1.6515
tackles_success_rate,0.5000
marks_placed_per_match,83.3612
average_marks_active,0.7668
offside_violations_per_match,0.5524
rounds_with_no_shot_per_match,7.9355
turnovers_per_match,0.8258
average_activations_per_card,1.5980
average_movement_used,1.9419
average_movement_budget_used,2.0254
average_ball_depth,8.1995
test_name,v2_move4_shot3_goalie

cards_played,count
L+R 1/1,109050
C2,107030
C3,106596
C1,106286
L1,91643
R1,91629
D 1/1/1,85529
L2,80165
R2,79864
L3,79498
R3,79327
A 1/1/1,63383

actions_selected,count
mark 2,376273
shoot,164667
pass lane,83989
cross,54373
mark 3,27022
tackle,16515
pass outside,5315
pass inside,4043

card,meaningful,no_effect,no_eligible_activation
A 1/1/1,34289,5651,23443
C1,88838,15477,1971
C2,99065,6029,1936
C3,96531,8084,1981
D 1/1/1,17963,60378,7188
L+R 1/1,68230,32824,7996
L1,41383,39853,10407
L2,45277,21293,13595
L3,39361,26705,13432
R1,41627,39735,10267
R2,44916,21552,13396
R3,38976,26800,13551
